category,state,name,available,description,phone,text,website
state,NJ,2NDFLOOR Youth Helpline,24/7,Confidential support for New Jersey youth and young adults ages 10–24 facing emotional mental health family or peer challenges,1-888-222-2228,1-888-222-2228,https://www.2ndfloor.org
national,,988 Suicide & Crisis Lifeline,24/7,"Free, confidential support for people in distress, prevention and crisis resources.",988,Text 988,https://988lifeline.org
national,,Autism Response Team (Autism Speaks),Mon–Fri 9am–5pm ET,Information and support for individuals with autism and families,1-888-288-4762,,https://www.autismspeaks.org/autism-response-team
national,,Childhelp National Child Abuse Hotline,24/7,Crisis intervention for child abuse and neglect,1-800-4-A-CHILD,,https://www.childhelphotline.org
national,,Crisis Text Line,24/7,"Free, 24/7 crisis support via text message",,Text HOME to 741741,https://www.crisistextline.org/
national,,DeafLEAD National Crisis Line,24/7,Crisis intervention for Deaf and Hard of Hearing individuals via ASL,1-321-800-3323,,https://deaflead.org
national,,Disability Rights Hotline,Mon–Fri 9am–5pm,Advocacy and legal resources for people with disabilities,1-202-408-9514,,https://www.ndrn.org
national,,Disaster Distress Helpline,24/7,Crisis counseling for disaster-related emotional distress,1-800-985-5990,Text TalkWithUs to 66746,https://www.samhsa.gov/disaster
national,,Firearms Safety & Suicide Prevention Line,24/7,Support for reducing firearm-related suicide risk,1-800-273-8255,,https://www.hsph.harvard.edu/means-matter
state,,Homeless Hotline,,erves as the state homeless hotline and connects individuals experiencing homelessness with county social service agencies and community resources for emergency housing and long-term assistance,211,,https://nj211.org/initiative/state-homeless-hotline
national,,Maternal Mental Health Hotline,24/7,Emotional support for pregnant and postpartum individuals,1-833-943-5746,Text 1-833-943-5746,https://mchb.hrsa.gov/national-maternal-mental-health-hotline
national,,National Child Abuse Hotline,24/7,Professional crisis counselors for child abuse prevention and intervention.,1-800-422-4453,,https://childhelplineinternational.org
national,,National Domestic Violence Hotline,24/7,"Support, resources, and safety planning for domestic violence survivors.",1-800-799-7233,Text START to 88788,https://www.thehotline.org/
national,,National Eating Disorders Hotline,"Mon-Thu: 9am-9pm ET, Fri: 9am-5pm ET","Support, resources, and treatment options for eating disorders",1-800-931-2237,Text NEDA to 741741,https://www.nationaleatingdisorders.org/
national,,National Grief Support Hotline,Mon–Fri 9am–9pm ET,Emotional support for individuals experiencing grief and loss,1-833-745-4673,,https://www.griefshare.org
national,,National Human Trafficking Hotline,24/7,Support and reporting for human trafficking situations,1-888-373-7888,Text HELP to 233733,https://humantraffickinghotline.org
national,,National Poison Control,24/7,Emergency assistance for poison exposure or overdose,1-800-222-1222,,https://www.poison.org/
national,,National Runaway Safeline,24/7,Support for youth in crisis and their families,1-800-786-2929,Text HOME to 69866,https://www.1800runaway.org/
national,,National Sexual Assault Hotline,24/7,Confidential support for sexual assault survivors and their loved ones.,1-800-656-4673,,https://rainn.org/help-and-healing/hotline/
state,NJ,ReachNJ,24/7,"Confidential hotline connecting individuals and families to substance use treatment, recovery support, and prevention services in New Jersey",1-844-732-2465,,https://www.nj.gov/humanservices/reachnj/
state,NJ,NJ AIDS/STD Hotline,24/7,Confidential information and referrals for HIV AIDS and sexually transmitted disease testing treatment and prevention services in New Jersey,1-800-624-2377,,https://www.njhivstdline.org
state,NJ,NJ Child Abuse/Neglect Hotline,24/7,Confidential hotline to report suspected child abuse or neglect and to obtain guidance on child welfare concerns in New Jersey,1-877-652-2873,,"https://www.nj.gov/dcf/reporting/how/#:~:text=If%20the%20child%20is%20in,can%20make%20the%20report%20anonymously."
state,NJ,NJ Coalition Against Sexual Assault (NJCASA),24/7,Sexual violence support and advocacy,1-800-601-7200,,https://www.njcasa.org
state,NJ,NJ Division of Aging Services Helpline,Mon–Fri 8:30am–4:30pm,Resources for seniors and caregivers,1-877-222-3737,,https://www.nj.gov/humanservices/doas
state,NJ,NJ Domestic Violence Hotline ,24/7,This hotline serves domestic violence victims and others seeking information about domestic violence services,1-800-572-7233,,
state,NJ,NJ Hopeline,24/7,Peer support & suicide prevention hotline for New Jersey residents.,1-855-654-6735,,https://njhopeline.com
